ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT
Ifeanyi Onyekwere,Nigeria,Boxing,Men’s Over 92kg (Super Heavyweight),B,Africa
Elizabeth Oshoba,Nigeria,Boxing,Women’s Over 54kg-57kg (Featherweight),S,Africa
Jacinta Umunnakwe,Nigeria,Boxing,Women’s Over 70kg-75kg (Middleweight),B,Africa
Innocent Nnamdi,Nigeria,Para Powerlifting,Men's Lightweight,B,Africa
Ikechukwu Christian Obichukwu,Nigeria,Para Powerlifting,Men's Heavyweight,S,Africa
Alice Folashade Oluwafemiayo,Nigeria,Para Powerlifting,Women's Heavyweight,G,Africa
Bose Patricia Omolayo,Nigeria,Para Powerlifting,Women's Heavyweight,S,Africa
Ifechukwude Christiana Ikpeoyi,Nigeria,Table Tennis and Para Table Tennis,Women's Singles Classes 3-5,S,Africa
Faith Obazuaye,Nigeria,Table Tennis and Para Table Tennis,Women's Singles Classes 6-10,B,Africa
Isau Ogunkunle,Nigeria,Table Tennis and Para Table Tennis,Men's Singles Classes 3-5,B,Africa
Nasiru Sule,Nigeria,Table Tennis and Para Table Tennis,Men's Singles Classes 3-5,S,Africa
Rafiatu Folashade Lawal,Nigeria,Weightlifting,Women's 59kg,G,Africa
Taiwo Liadi,Nigeria,Weightlifting,Women's 76kg,S,Africa
Adijat Adenike Olarinoye,Nigeria,Weightlifting,Women's 55kg,G,Africa
Mary Taiwo Osijo,Nigeria,Weightlifting,Women's 87kg,B,Africa
Edidiong Joseph Umoafia,Nigeria,Weightlifting,Men's 67kg,B,Africa
Islamiyat Adebukola Yusuf,Nigeria,Weightlifting,Women's 64kg,B,Africa
Odunayo Folasade Adekuoroye,Nigeria,Wrestling,Women's Freestyle 57 kg,G,Africa
Miesinnei Mercy Genesis,Nigeria,Wrestling,Women's Freestyle 50 kg,G,Africa
Ogbonna Emmanuel John,Nigeria,Wrestling,Men's Freestyle 74 kg,B,Africa
Esther Omolayo Kolawole,Nigeria,Wrestling,Women's Freestyle 62 kg,B,Africa
Blessing Oborududu,Nigeria,Wrestling,Women's Freestyle 68 kg,G,Africa
Hannah Amuchechi Rueben,Nigeria,Wrestling,Women's Freestyle 76 kg,S,Africa
Ebikewenimo Welson,Nigeria,Wrestling,Men's Freestyle 57 kg,S,Africa
Duken Holo tutakitoa-Williams,Niue,Boxing,Men’s Over 86kg-92kg (Heavyweight),B,Australia& Oceania
Bethany Firth,Northern Ireland,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,G,Europe
Barry McClements,Northern Ireland,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke S9,B,Europe
Daniel Wiffen,Northern Ireland,Aquatics - Swimming and Para Swimming,Men's 1500m Freestyle,S,Europe
Ciara Mageean,Northern Ireland,Athletics and Para Athletics,Women's 1500m,S,Europe
Kate O'Connor,Northern Ireland,Athletics and Para Athletics,Women's Heptathlon,S,Europe
Amy Sara Broadhurst,Northern Ireland,Boxing,Women’s Over 57kg-60kg (Lightweight),G,Europe
Dylan James Eagleson,Northern Ireland,Boxing,Men’s Over 51kg-54kg (Bantamweight),G,Europe
Jude Gallagher,Northern Ireland,Boxing,Men’s Over 54kg- 57kg (Featherweight),G,Europe
Carly Mc Naul,Northern Ireland,Boxing,Women’s Over 48kg-50kg (Light Flyweight),S,Europe
Eireann Cathlin Nugent,Northern Ireland,Boxing,Women’s Over 66kg-70kg (Light Middleweight),B,Europe
Michaela Walsh,Northern Ireland,Boxing,Women’s Over 54kg-57kg (Featherweight),G,Europe
Aidan Walsh,Northern Ireland,Boxing,Men’s Over 67kg-71kg (Light Middleweight),G,Europe
Rhys Mc Clenaghan,Northern Ireland,Gymnastics - Artistic,Men's Pommel Horse,S,Europe
Nathon Burns,Northern Ireland,Judo,Men -66 kg,B,Europe
Yasmin Javadian,Northern Ireland,Judo,Women -52 kg,B,Europe
Sam Barkley,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe
Gary Kelly,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Singles,S,Europe
Ian McClure,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe
Martin McHugh,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe
Adam McKeown,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe
Chloe Maccombe,Northern Ireland,Triathlon and Para Triathlon,Women's PTVI,S,Europe
Arshad Nadeem,Pakistan,Athletics and Para Athletics,Men's Javelin Throw,G,Asia
Shah Hussain Shah,Pakistan,Judo,Men -90 kg,B,Asia
Muhammad Nooh Dastgir Butt,Pakistan,Weightlifting,Men's 109+kg,G,Asia
Zaman Anwar,Pakistan,Wrestling,Men's Freestyle 125 kg,S,Asia
Ali Asad,Pakistan,Wrestling,Men's Freestyle 57 kg,B,Asia
Muhammad Inam,Pakistan,Wrestling,Men's Freestyle 86 kg,S,Asia
Muhammad Sharif Tahir,Pakistan,Wrestling,Men's Freestyle 74 kg,S,Asia
Inayat Ullah,Pakistan,Wrestling,Men's Freestyle 65 kg,B,Asia
Morea Baru,Papua New Guinea,Weightlifting,Men's 61kg,S,Australia& Oceania
Ato Leau Plodzicki-Faoagali,Samoa,Boxing,Men’s Over 86kg-92kg (Heavyweight),S,Australia& Oceania
Jack Hitila Opeloge,Samoa,Weightlifting,Men's 109kg,S,Australia& Oceania
Vaipava Nevo Ioane,Samoa,Weightlifting,Men's 67kg,S,Australia& Oceania
Don Opeloge,Samoa,Weightlifting,Men's 96kg,G,Australia& Oceania
Feagaiga Stowers,Samoa,Weightlifting,Women's 87+kg,S,Australia& Oceania
James Philip Heatly,Scotland,Aquatics - Diving,Mixed Synchronised 3m Springboard,G,Europe
Grace Elizabeth Reid,Scotland,Aquatics - Diving,Mixed Synchronised 3m Springboard,G,Europe
Craig Benson,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Stephen Clegg,Scotland,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S13,S,Europe
Evan Jones,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Evan Jones,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe
Craig McNally,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Stephen Milne,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Stephen Milne,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Breaststroke,B,Europe
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 50m Breaststroke,B,Europe
Ross Murdoch,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 100m Freestyle,B,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,B,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Individual Medley,G,Europe
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle,G,Europe
Katie Shanahan,Scotland,Aquatics - Swimming and Para Swimming,Women's 200m Backstroke,B,Europe
Katie Shanahan,Scotland,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,B,Europe
Toni Shaw,Scotland,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,B,Europe
Gregor Swinney,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Mark Szaranek,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe
Martyn Walton,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe
Jill Cherry,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe
Zoey Clark,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe
Beth Dobbin,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe
Sean Frame,Scotland,Athletics and Para Athletics,Men's T53/54 Marathon,S,Europe
Samantha Kinghorn,Scotland,Athletics and Para Athletics,Women's T53/54 1500m,B,Europe
Eilish McColgan,Scotland,Athletics and Para Athletics,Women's 5000m,S,Europe
Eilish McColgan,Scotland,Athletics and Para Athletics,"Women's 10,000m",G,Europe
Laura Muir,Scotland,Athletics and Para Athletics,Women's 1500m,G,Europe
Laura Muir,Scotland,Athletics and Para Athletics,Women's 800m,B,Europe
Jake Wightman,Scotland,Athletics and Para Athletics,Men's 1500m,B,Europe
Nicole Yeargin,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe
Sam Hickey,Scotland,Boxing,Men’s Over 71kg-75kg (Middleweight),G,Europe
Tyler Jolly,Scotland,Boxing,Men’s Over 63.5kg-67kg (Welterweight),B,Europe
Sean Lazzerini,Scotland,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),G,Europe
Reese Lynch,Scotland,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),G,Europe
Matthew McHale,Scotland,Boxing,Men’s Over 51kg-54kg (Bantamweight),B,Europe
Finn Crockett,Scotland,Cycling - Road,Men's Road Race,B,Europe
Neah Evans,Scotland,Cycling - Road,Women's Road Race,S,Europe
John Archibald,Scotland,Cycling - Track and Para Track,Men's 15km Scratch Race,S,Europe
Jack Carlin,Scotland,Cycling - Track and Para Track,Men's Keirin,S,Europe
Jack Carlin,Scotland,Cycling - Track and Para Track,Men's Sprint,B,Europe
Neah Evans,Scotland,Cycling - Track and Para Track,Women's 3000m Individual Pursuit,B,Europe
Neah Evans,Scotland,Cycling - Track and Para Track,Women's 25km Points Race,S,Europe
Neil Fachie,Scotland,Cycling - Track and Para Track,Men's Tandem B - Sprint,S,Europe
Neil Fachie,Scotland,Cycling - Track and Para Track,Men's Tandem B - 1000m Time Trial,G,Europe
Aileen McGlynn,Scotland,Cycling - Track and Para Track,Women's Tandem B - Sprint,S,Europe
Aileen McGlynn,Scotland,Cycling - Track and Para Track,Women's Tandem B - 1000m Time Trial,B,Europe
Shannon Archer,Scotland,Gymnastics - Artistic,Women's Vault,B,Europe
Louise Christie,Scotland,Gymnastics - Rhythmic,Ribbon,S,Europe
Sarah Adlington,Scotland,Judo,Women +78 kg,G,Europe
Finlay Allan,Scotland,Judo,Men -66 kg,S,Europe
Rachel Tytler,Scotland,Judo,Women -78 kg,B,Europe
Malin Wilson,Scotland,Judo,Women -57 kg,B,Europe
Robert Barr,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe
Garry Brown,Scotland,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,G,Europe
Sarah Jane Ewing,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe
Paul Foster,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Pairs,B,Europe
Melanie Inness,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe
Rosemary Lenton,Scotland,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,G,Europe
Alex Marshall,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Pairs,B,Europe
Iain McLean,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Singles,B,Europe
George Miller,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe
Kevin Wallace,Scotland,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,G,Europe
Pauline Wilson,Scotland,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,G,Europe
Micky Yule,Scotland,Para Powerlifting,Men's Heavyweight,B,Europe
Greg Lobban,Scotland,Squash,Men's Doubles,B,Europe
Rory Stewart,Scotland,Squash,Men's Doubles,B,Europe
Beth Potter,Scotland,Triathlon and Para Triathlon,Women's Individual (Sprint Distance),B,Europe
Tzen Wei Teong,Singapore,Aquatics - Swimming and Para Swimming,Men's 50m Butterfly,S,Asia
Wei Soong Toh,Singapore,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S7,S,Asia
Yong Kai Terry Hee,Singapore,Badminton,Mixed Doubles,G,Asia
Yong Kai Terry Hee,Singapore,Badminton,Mixed Team Event,B,Asia
Khan Insyirah,Singapore,Badminton,Mixed Team Event,B,Asia
Yujia Jin,Singapore,Badminton,Mixed Team Event,B,Asia
Andy Jun Liang Kwek,Singapore,Badminton,Mixed Team Event,B,Asia
Kean Hean Loh,Singapore,Badminton,Mixed Team Event,B,Asia
Kean Yew Loh,Singapore,Badminton,Mixed Team Event,B,Asia
Jessica Wei Han Tan,Singapore,Badminton,Mixed Team Event,B,Asia
Jessica Wei Han Tan,Singapore,Badminton,Mixed Doubles,G,Asia
Jia Heng Teh,Singapore,Badminton,Mixed Team Event,B,Asia
Jia Ying Crystal Wong,Singapore,Badminton,Mixed Team Event,B,Asia
Jia Min Yeo,Singapore,Badminton,Women's Singles,B,Asia
Jia Min Yeo,Singapore,Badminton,Mixed Team Event,B,Asia
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Men's Doubles,B,Asia
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia
Zhe Yu Clarence Chew,Singapore,Table Tennis and Para Table Tennis,Mixed Doubles,B,Asia
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Doubles,G,Asia
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia
Tianwei Feng,Singapore,Table Tennis and Para Table Tennis,Women's Singles,G,Asia
Yew En Koen Pang,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia
Shao Feng Ethan Poh,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia
Shao Feng Ethan Poh,Singapore,Table Tennis and Para Table Tennis,Men's Doubles,B,Asia
Yong Izaac Quek,Singapore,Table Tennis and Para Table Tennis,Men's Team,S,Asia
Xin Ru Wong,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Singles,S,Asia
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Mixed Doubles,B,Asia
Jian Zeng,Singapore,Table Tennis and Para Table Tennis,Women's Doubles,G,Asia
Jingyi Zhou,Singapore,Table Tennis and Para Table Tennis,Women's Team,G,Asia
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 50m Backstroke,S,Africa
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke,G,Africa
Pieter Coetze,South Africa,Aquatics - Swimming and Para Swimming,Men's 200m Backstroke,B,Africa
Kaylene Corbett,South Africa,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,B,Africa
Erin Gallagher,South Africa,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,S,Africa
Chad le Clos,South Africa,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,S,Africa
Christian Sadie,South Africa,Aquatics - Swimming and Para Swimming,Men's 50m Freestyle S7,B,Africa
Tatjana Schoenmaker,South Africa,Aquatics - Swimming and Para Swimming,Women's 200m Breaststroke,G,Africa
Tatjana Schoenmaker,South Africa,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,S,Africa
Lara van Niekerk,South Africa,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,G,Africa
Lara van Niekerk,South Africa,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,G,Africa
Charl du Toit,South Africa,Athletics and Para Athletics,Men's T37/38 100m,S,Africa
Ndodomzi Ntutu,South Africa,Athletics and Para Athletics,Men's T11/12 100m,G,Africa
Akani Simbine,South Africa,Athletics and Para Athletics,Men's 100m,S,Africa
Zeney van der Walt,South Africa,Athletics and Para Athletics,Women's 400m Hurdles,B,Africa
Jovan van Vuuren,South Africa,Athletics and Para Athletics,Men's Long Jump,B,Africa
Simnikiwe Bongco,South Africa,Boxing,Men’s Over 71kg-75kg (Middleweight),B,Africa
Phiwokuhle Sbusisiwe Mnguni,South Africa,Boxing,Women’s Over 54kg-57kg (Featherweight),B,Africa
Candice Lill,South Africa,Cycling - Mountain Bike,Women's Cross-country,B,Africa
Daryl Impey,South Africa,Cycling - Road,Men's Road Race,S,Africa
Caitlin Rooskrantz,South Africa,Gymnastics - Artistic,Women's Uneven Bars,B,Africa
Charne Griesel,South Africa,Judo,Women -52 kg,B,Africa
Michaela Whitebooi,South Africa,Judo,Women -48 kg,G,Africa
Bridget Calitz,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa
Esme Kruger,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa
Desiree Levin,South Africa,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,B,Africa
Thabelo Muvhango,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa
Johanna Snyman,South Africa,Lawn Bowls and Para Lawn Bowls,Women's Fours,S,Africa
Victoria van der Merwe,South Africa,Lawn Bowls and Para Lawn Bowls,Para Women's Pairs B6-B8,B,Africa
Ronald Brown,South Africa,Rugby Sevens,Men,G,Africa
Angelo Davids,South Africa,Rugby Sevens,Men,G,Africa
Selvyn Davids,South Africa,Rugby Sevens,Men,G,Africa
Zain Davids,South Africa,Rugby Sevens,Men,G,Africa
Muller du Plessis,South Africa,Rugby Sevens,Men,G,Africa
Christie Grobbelaar,South Africa,Rugby Sevens,Men,G,Africa
Dewald Human,South Africa,Rugby Sevens,Men,G,Africa
Sakoyisa Makata,South Africa,Rugby Sevens,Men,G,Africa
James Murphy,South Africa,Rugby Sevens,Men,G,Africa
Mfundo Ndhlovu,South Africa,Rugby Sevens,Men,G,Africa
Jc Pretorius,South Africa,Rugby Sevens,Men,G,Africa
Siviwe Soyizwapi,South Africa,Rugby Sevens,Men,G,Africa
Shaun Williams,South Africa,Rugby Sevens,Men,G,Africa
Nicolaas de Lange,South Africa,Wrestling,Men's Freestyle 97 kg,S,Africa
Yupun Abeykoon,Sri Lanka,Athletics and Para Athletics,Men's 100m,B,Asia
Palitha Halgahawela Gedara,Sri Lanka,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,S,Asia
Dilanka Isuru Kumara Yodage,Sri Lanka,Weightlifting,Men's 55kg,B,Asia
Nethmi Poruthotage,Sri Lanka,Wrestling,Women's Freestyle 57 kg,B,Asia
Julien Alfred,St Lucia,Athletics and Para Athletics,Women's 100m,S,Caribbean & Americans
Alphonce Felix Simbu,Tanzania,Athletics and Para Athletics,Men's Marathon,S,Africa
Yusuf Lucasi Changalawe,Tanzania,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),B,Africa
Kassim Mbundwike,Tanzania,Boxing,Men’s Over 67kg-71kg (Light Middleweight),B,Africa
Devynne Charlton,The Bahamas,Athletics and Para Athletics,Women's 100m Hurdles,S,Caribbean & Americans
Laquan Nairn,The Bahamas,Athletics and Para Athletics,Men's Long Jump,G,Caribbean & Americans
Faye Njie,The Gambia,Judo,Men -73 kg,S,Africa
Kion Benjamin,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans
Machel Cedenio,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Jerod Elcock,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans
Kyle Greaux,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans
Asa Guevara,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Eric Harrison Jr,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans
Akanni Hislop,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 100m Relay,S,Caribbean & Americans
Kashief King,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Che Lara,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Jereem Richards,Trinidad & Tobago,Athletics and Para Athletics,Men's 200m,G,Caribbean & Americans
Jereem Richards,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Dwight St. Hillaire,Trinidad & Tobago,Athletics and Para Athletics,Men's 4 x 400m Relay,G,Caribbean & Americans
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's Keirin,G,Caribbean & Americans
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's Sprint,S,Caribbean & Americans
Nicholas Paul,Trinidad & Tobago,Cycling - Track and Para Track,Men's 1000m Time Trial,B,Caribbean & Americans
Peruth Chemutai,Uganda,Athletics and Para Athletics,Women's 3000m Steeplechase,B,Africa
Victor Kiplangat,Uganda,Athletics and Para Athletics,Men's Marathon,G,Africa
Jacob Kiplimo,Uganda,Athletics and Para Athletics,"Men's 10,000m",G,Africa
Jacob Kiplimo,Uganda,Athletics and Para Athletics,Men's 5000m,G,Africa
Teddy Nakimuli,Uganda,Boxing,Women’s Over 48kg-50kg (Light Flyweight),B,Africa
Miller Pata,Vanuatu,Beach Volleyball,Women,B,Australia& Oceania
Sherysyn Toko,Vanuatu,Beach Volleyball,Women,B,Australia& Oceania
Medi Harris,Wales,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke,B,Europe
Lily Rice,Wales,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke S8,B,Europe
Olivia Breen,Wales,Athletics and Para Athletics,Women's T37/38 100m,G,Europe
Aled Davies,Wales,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,G,Europe
Harrison Walsh,Wales,Athletics and Para Athletics,Men's Discus Throw F42-44/61-64,B,Europe
Taylor Bevan,Wales,Boxing,Men’s Over 75kg-80kg (Light Heavyweight),S,Europe
Ioan Croft,Wales,Boxing,Men’s Over 63.5kg-67kg (Welterweight),G,Europe
Garan Croft,Wales,Boxing,Men’s Over 67kg-71kg (Light Middleweight),B,Europe
Jake Dodd,Wales,Boxing,Men’s Over 48kg-51kg (Flyweight),B,Europe
Rosie Eccles,Wales,Boxing,Women’s Over 66kg-70kg (Light Middleweight),G,Europe
Owain Harris-Allan,Wales,Boxing,Men’s Over 51kg-54kg (Bantamweight),B,Europe
Geraint Thomas,Wales,Cycling - Road,Men's Individual Time Trial,B,Europe
James Ball,Wales,Cycling - Track and Para Track,Men's Tandem B - 1000m Time Trial,S,Europe
James Ball,Wales,Cycling - Track and Para Track,Men's Tandem B - Sprint,G,Europe
Rhian Edmunds,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe
Emma Finucane,Wales,Cycling - Track and Para Track,Women's Sprint,B,Europe
Emma Finucane,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe
Eluned King,Wales,Cycling - Track and Para Track,Women's 25km Points Race,B,Europe
William Roberts,Wales,Cycling - Track and Para Track,Men's 15km Scratch Race,B,Europe
Lowri Thomas,Wales,Cycling - Track and Para Track,Women's Team Sprint,B,Europe
Gemma Natasha Frizelle,Wales,Gymnastics - Rhythmic,Hoop,G,Europe
Jasmine Hacker-Jones,Wales,Judo,Women -63 kg,B,Europe
Natalie Powell,Wales,Judo,Women -78 kg,S,Europe
Mark Adams,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe
Jarrad Breen,Wales,Lawn Bowls and Para Lawn Bowls,Men's Pairs,G,Europe
Owain Dando,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe
Gordon Llewellyn,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe
Ross Owen,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe
Daniel Salmon,Wales,Lawn Bowls and Para Lawn Bowls,Men's Pairs,G,Europe
Julie Thomas,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe
Jonathan Tomlinson,Wales,Lawn Bowls and Para Lawn Bowls,Men's Triples,B,Europe
John Wilson,Wales,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,S,Europe
Joel Makin,Wales,Squash,Men's Singles,S,Europe
Charlotte Carey,Wales,Table Tennis and Para Table Tennis,Women's Doubles,B,Europe
Anna Hursey,Wales,Table Tennis and Para Table Tennis,Women's Doubles,B,Europe
Joshua Stacey,Wales,Table Tennis and Para Table Tennis,Men's Singles Classes 8-10,G,Europe
Dominic Coy,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe
Iestyn Harrett,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe
Olivia Mathias,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe
Non Stanford,Wales,Triathlon and Para Triathlon,Mixed Team Relay,S,Europe
Muzala Samukonga,Zambia,Athletics and Para Athletics,Men's 400m,G,Africa
Patrick Chinyemba,Zambia,Boxing,Men’s Over 48kg-51kg (Flyweight),B,Africa
Stephen Zimba,Zambia,Boxing,Men’s Over 63.5kg-67kg (Welterweight),S,Africa
