Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Police Officer,Calvin W. Webb,Gunfire,"Friday, December 31, 1858",1858,December,Friday,"Atlanta Police Department, GA",Georgia,0
Constable,David Welch,Gunfire,"Tuesday, January 11, 1859",1859,January,Tuesday,"Henderson County Sheriff's Office, IL",Illinois,0
Private,Jonathon Thompson,Gunfire (Inadvertent),"Sunday, February 27, 1859",1859,February,Sunday,"Texas Rangers, TX",Texas,0
Deputy Sheriff,George Moorman Martin,Gunfire,"Monday, July 11, 1859",1859,July,Monday,"Placer County Sheriff's Office, CA",California,0
Jailer,Robert L. Johnson,Gunfire,"Wednesday, September 28, 1859",1859,September,Wednesday,"Cameron County Sheriff's Office, TX",Texas,0
Constable,George Morris,Gunfire,"Wednesday, September 28, 1859",1859,September,Wednesday,"Cameron County Constable's Office - Precinct 2, TX",Texas,0
Private,John Fox,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
Private,Thomas Grier,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
Private,William McKay,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
Private,Nicholas R. Milett,Gunfire,"Wednesday, November 16, 1859",1859,November,Wednesday,"Texas Rangers, TX",Texas,0
Private,David Herman,Gunfire,"Wednesday, December 14, 1859",1859,December,Wednesday,"Texas Rangers, TX",Texas,0
Patrolman,John Steward,Structure collapse,"Tuesday, December 20, 1859",1859,December,Tuesday,"New York Metropolitan Police Force, NY",New York,0
Private,Fountain B. Woodruff,Gunfire,"Saturday, February 4, 1860",1860,February,Saturday,"Texas Rangers, TX",Texas,0
Sheriff,Thomas S. Milligan,Assault,"Sunday, February 19, 1860",1860,February,Sunday,"Mason County Sheriff's Office, TX",Texas,0
Officer,C. Edward Foley,Gunfire,"Saturday, March 10, 1860",1860,March,Saturday,"Houston Police Department, TX",Texas,0
Deputy U.S. Marshal,Leonard Armes,Gunfire,"Friday, April 20, 1860",1860,April,Friday,"United States Department of Justice - United States Marshals Service, US",United States,0
Deputy Sheriff,Thomas Clancy,Vehicular assault,"Saturday, May 5, 1860",1860,May,Saturday,"Wayne County Sheriff's Office, MI",Michigan,0
Patrolman,W. Stith Tucker,Stabbed,"Saturday, May 5, 1860",1860,May,Saturday,"Memphis Police Department, TN",Tennessee,0
Police Officer,Levi Washington Davis,Gunfire,"Monday, May 7, 1860",1860,May,Monday,"Springville Police Department, UT",Utah,0
Patrol Officer,William Loughrey,Stabbed,"Tuesday, June 26, 1860",1860,June,Tuesday,"Cambridge Police Department, MA",Massachusetts,0
Deputy Sheriff,Thomas Shain,Gunfire,"Monday, July 2, 1860",1860,July,Monday,"Collin County Sheriff's Office, TX",Texas,0
Constable,Miles Huntsman,Gunfire,"Thursday, July 26, 1860",1860,July,Thursday,"Amador County Constable's Office, CA",California,0
Deputy,Thomas Nolan,Gunfire,"Wednesday, August 15, 1860",1860,August,Wednesday,"Nueces County Sheriff's Office, TX",Texas,0
Officer,Claborne Long,Stabbed,"Wednesday, January 9, 1861",1861,January,Wednesday,"Cincinnati Police Department, OH",Ohio,0
Officer,Daniel Hallam,Stabbed,"Thursday, January 10, 1861",1861,January,Thursday,"Cincinnati Police Department, OH",Ohio,0
Sheriff,Jesse Sut Harris,Gunfire,"Thursday, June 6, 1861",1861,June,Thursday,"Brown County Sheriff's Office, TX",Texas,0
Officer,Patrick Nuttle,Stabbed,"Tuesday, June 11, 1861",1861,June,Tuesday,"Cincinnati Police Department, OH",Ohio,0
Policeman,Nehum M. Pratte,Gunfire,"Monday, June 17, 1861",1861,June,Monday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Private,Andrew J. McCarty,Gunfire,"Sunday, June 23, 1861",1861,June,Sunday,"Texas Rangers, TX",Texas,0
Captain,Sidney Green Davidson,Gunfire,"Sunday, June 23, 1861",1861,June,Sunday,"Texas Rangers, TX",Texas,0
Keeper,Augustus T. Wright,Assault,"Thursday, July 11, 1861",1861,July,Thursday,"New York State Department of Correctional Services, NY",New York,0
Private,Harrison R. Tips Connely,Gunfire,"Monday, July 29, 1861",1861,July,Monday,"Texas Rangers, TX",Texas,0
Private,Jerome Culver Lynn,Gunfire,"Monday, July 29, 1861",1861,July,Monday,"Texas Rangers, TX",Texas,0
Private,Thomas C. Weatherby,Gunfire,"Monday, July 29, 1861",1861,July,Monday,"Texas Rangers, TX",Texas,0
Patrolman,David Martin,Stabbed,"Tuesday, August 6, 1861",1861,August,Tuesday,"New York Metropolitan Police Force, NY",New York,0
Sheriff,John B. York,Stabbed,"Saturday, August 24, 1861",1861,August,Saturday,"Tarrant County Sheriff's Office, TX",Texas,0
Sheriff,John L. Blackburn,Stabbed,"Thursday, November 28, 1861",1861,November,Thursday,"Carson County Sheriff's Office, NV",Nevada,0
Police Officer,John C. Gilmore,Gunfire,"Tuesday, December 24, 1861",1861,December,Tuesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Patrolman,John W. Causey,Stabbed,"Tuesday, December 31, 1861",1861,December,Tuesday,"Memphis Police Department, TN",Tennessee,0
Police Officer,Benjamin S. Rust,Gunfire,"Wednesday, January 15, 1862",1862,January,Wednesday,"Louisville Police Department, KY",Kentucky,0
Deputy City Marshal,James C. Richey,Gunfire,"Tuesday, February 4, 1862",1862,February,Tuesday,"Denver Police Department, CO",Colorado,0
Warden,Daniel Webster,Stabbed,"Thursday, March 27, 1862",1862,March,Thursday,"Connecticut Department of Correction, CT",Connecticut,0
Sheriff,N. F. Scott,Gunfire,"Saturday, April 5, 1862",1862,April,Saturday,"Mono County Sheriff's Office, CA",California,0
Constable,John Welch,Gunfire,"Monday, April 14, 1862",1862,April,Monday,"Evansville Police Department, IN",Indiana,0
Patrolman,Henry L. Williams,Gunfire,"Tuesday, October 14, 1862",1862,October,Tuesday,"New York Metropolitan Police Force, NY",New York,0
Deputy Sheriff,Martin Roohan,Stabbed,"Thursday, October 23, 1862",1862,October,Thursday,"Santa Clara County Sheriff's Office, CA",California,0
Sergeant,John Sturdy,Assault,"Friday, April 10, 1863",1863,April,Friday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Police Officer,Dennis McMahon,Gunfire,"Sunday, April 12, 1863",1863,April,Sunday,"Virginia City Police Department, NV",Nevada,0
Police Officer,Thomas Reed,Gunfire,"Sunday, April 12, 1863",1863,April,Sunday,"Virginia City Police Department, NV",Nevada,0
Warden,Richard Tinker,Stabbed,"Thursday, May 14, 1863",1863,May,Thursday,"Maine Department of Corrections, ME",Maine,0
Deputy Sheriff,D. H. Dillingham,Gunfire,"Monday, June 29, 1863",1863,June,Monday,"Bannock County Sheriff's Department, ID",Idaho,0
Patrolman,Edward Dippel,Gunfire,"Sunday, July 19, 1863",1863,July,Sunday,"New York Metropolitan Police Force, NY",New York,0
Patrolman,Peter McIntyre,Assault,"Sunday, August 9, 1863",1863,August,Sunday,"New York Metropolitan Police Force, NY",New York,0
Officer,John F. Baylis,Gunfire,"Wednesday, September 9, 1863",1863,September,Wednesday,"Wilmington Police Department, DE",Delaware,0
Constable,Henry Unger,Gunfire,"Tuesday, October 13, 1863",1863,October,Tuesday,"Pennsylvania State Constable - Franklin County, PA",Pennsylvania,0
Sheriff,William H. Tainter,Drowned,"Friday, October 23, 1863",1863,October,Friday,"Mendocino County Sheriff's Office, CA",California,0
Patrolman,John T. Van Buren,Assault,"Saturday, November 7, 1863",1863,November,Saturday,"New York Metropolitan Police Force, NY",New York,0
Inspector,William Bird Goodell,Drowned,"Wednesday, December 16, 1863",1863,December,Wednesday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Deputy Collector,James M. Anderson,Drowned,"Wednesday, December 16, 1863",1863,December,Wednesday,"United States Department of the Treasury - United States Customs Service, US",United States,0
Patrolman,John Starkey,Assault,"Wednesday, January 20, 1864",1864,January,Wednesday,"New York Metropolitan Police Force, NY",New York,0
Patrolman,Austin H. Easterbrook,Animal related,"Saturday, February 6, 1864",1864,February,Saturday,"New York Metropolitan Police Force, NY",New York,0
Patrolman,John C. Churchwood,Fall,"Friday, March 25, 1864",1864,March,Friday,"Chicago Police Department, IL",Illinois,0
Special Agent,Garrett W. Freer,Gunfire,"Monday, May 2, 1864",1864,May,Monday,"United States Army Criminal Investigation Division, US",United States,0
Deputy Warden,Joseph T. Clark,Assault,"Sunday, May 8, 1864",1864,May,Sunday,"Illinois Department of Corrections, IL",Illinois,0
Patrolman,George W. Duryea,Gunfire,"Monday, May 16, 1864",1864,May,Monday,"New York Metropolitan Police Force, NY",New York,0
Deputy Sheriff,Andrew Kriss,Gunfire,"Wednesday, May 25, 1864",1864,May,Wednesday,"San Diego County Sheriff's Department, CA",California,0
Deputy Sheriff,Joseph Staples,Gunfire,"Friday, July 1, 1864",1864,July,Friday,"El Dorado County Sheriff's Office, CA",California,0
Patrolman,John J. O'Brien,Gunfire,"Thursday, August 25, 1864",1864,August,Thursday,"New York Metropolitan Police Force, NY",New York,0
Policeman,Edward Bond,Gunfire,"Sunday, September 4, 1864",1864,September,Sunday,"Louisville Police Department, KY",Kentucky,0
Deputy Marshal,Charles Ring,Gunfire,"Wednesday, September 14, 1864",1864,September,Wednesday,"Saginaw Police Department, MI",Michigan,0
Sheriff,Harvey Staten Cox,Assault,"Thursday, September 15, 1864",1864,September,Thursday,"Young County Sheriff's Office, TX",Texas,0
Sheriff,Robert Carmen,Gunfire,"Tuesday, September 20, 1864",1864,September,Tuesday,"Chariton County Sheriff's Department, MO",Missouri,0
Special Agent,Josiah M. Woodruff,Gunfire,"Saturday, October 1, 1864",1864,October,Saturday,"United States Army Criminal Investigation Division, US",United States,0
Deputy Provost Marshal,John L. Bashore,Gunfire,"Saturday, October 1, 1864",1864,October,Saturday,"United States Army Criminal Investigation Division, US",United States,0
Patrolman,Charles Curren,Gunfire,"Thursday, October 6, 1864",1864,October,Thursday,"New York Metropolitan Police Force, NY",New York,0
Special Agent,Cyrus Butler,Gunfire,"Monday, October 31, 1864",1864,October,Monday,"United States Army Criminal Investigation Division, US",United States,0
Patrolman,Joseph Nulett,Gunfire,"Monday, November 7, 1864",1864,November,Monday,"New York Metropolitan Police Force, NY",New York,0
Sheriff,Matthew Nolan,Gunfire,"Thursday, December 22, 1864",1864,December,Thursday,"Nueces County Sheriff's Office, TX",Texas,0
Sheriff,William W. Armstrong,Duty related illness,"Thursday, December 29, 1864",1864,December,Thursday,"Jefferson County Sheriff's Department, WA",Washington,0
Policeman,George Dill,Gunfire,"Tuesday, January 10, 1865",1865,January,Tuesday,"Buffalo Police Department, NY",New York,0
Guard,Daniel Heavey,Stabbed,"Thursday, January 19, 1865",1865,January,Thursday,"Ohio Department of Rehabilitation and Correction, OH",Ohio,0
Sergeant,W. C. Stockham,Gunfire,"Wednesday, February 22, 1865",1865,February,Wednesday,"Memphis Police Department, TN",Tennessee,0
Assistant Provost Marshal,John B. Cook,Gunfire,"Sunday, March 5, 1865",1865,March,Sunday,"United States Army Criminal Investigation Division, US",United States,0
Sheriff,"John Quincy Daugherty, Sr.",Gunfire,"Saturday, March 18, 1865",1865,March,Saturday,"Uvalde County Sheriff's Office, TX",Texas,0
Deputy Sheriff,O. John Hart,Gunfire,"Monday, May 1, 1865",1865,May,Monday,"Umatilla County Sheriff's Department, OR",Oregon,0
Sheriff,Cornelius Sage,Gunfire,"Wednesday, May 3, 1865",1865,May,Wednesday,"Yuma County Sheriff's Office, AZ",Arizona,0
Sheriff,Joseph E. Branscomb,Gunfire,"Monday, July 31, 1865",1865,July,Monday,"DeKalb County Sheriff's Office, MO",Missouri,0
Officer,"Thomas DeVane, V",Gunfire,"Saturday, August 5, 1865",1865,August,Saturday,"Wilmington Police Department, NC",North Carolina,0
Patrolman,Thomas Walker,Gunfire,"Tuesday, August 15, 1865",1865,August,Tuesday,"New York Metropolitan Police Force, NY",New York,0
Constable,Andrew J. Frank,Gunfire,"Saturday, September 16, 1865",1865,September,Saturday,"Suspension Bridge Village Police Department, NY",New York,0
Patrolman,Edward Holmes,Gunfire,"Saturday, September 23, 1865",1865,September,Saturday,"Johnstown Police Department, PA",Pennsylvania,0
Sheriff,John H. Payntor,Gunfire,"Thursday, October 5, 1865",1865,October,Thursday,"Cedar County Sheriff's Office, MO",Missouri,0
Lieutenant,William L. Harville,Gunfire,"Thursday, October 5, 1865",1865,October,Thursday,"Cedar County Sheriff's Office, MO",Missouri,0
Patrolman,Thomas J. McFadden,Gunfire,"Friday, December 29, 1865",1865,December,Friday,"Louisville Police Department, KY",Kentucky,0
Deputy Sheriff,Frederick Irvin,Gunfire,"Monday, January 1, 1866",1866,January,Monday,"Henry County Sheriff's Office, TN",Tennessee,0
Sheriff,Benjamen McLean,Assault,"Friday, February 9, 1866",1866,February,Friday,"Shelby County Sheriff's Office, OH",Ohio,0
Deputy Sheriff,William H. Hendricks,Gunfire,"Thursday, February 15, 1866",1866,February,Thursday,"Santa Clara County Sheriff's Office, CA",California,0
Sheriff,George Rogers,Gunfire,"Thursday, March 1, 1866",1866,March,Thursday,"Lincoln County Sheriff's Office, NV",Nevada,0
Patrolman,William Mower,Gunfire,"Thursday, March 1, 1866",1866,March,Thursday,"Memphis Police Department, TN",Tennessee,0
Policeman,John Curry,Stabbed,"Tuesday, May 1, 1866",1866,May,Tuesday,"Leavenworth Police Department, KS",Kansas,0
Patrolman,John Stevens,Gunfire,"Tuesday, May 1, 1866",1866,May,Tuesday,"Memphis Police Department, TN",Tennessee,0
Officer,Charles L. Butch Doebler,Gunfire,"Wednesday, May 9, 1866",1866,May,Wednesday,"Marysville Police Department, CA",California,0
Sheriff,William Read McMullen,Gunfire,"Saturday, May 19, 1866",1866,May,Saturday,"Angelina County Sheriff's Office, TX",Texas,0
Town Marshal,Jesse Dickson,Gunfire,"Monday, May 21, 1866",1866,May,Monday,"Quincy Police Department, FL",Florida,0
Jailer,Henry Bugler,Gunfire,"Wednesday, June 13, 1866",1866,June,Wednesday,"Jackson County Sheriff's Office, MO",Missouri,0
Jailer,Uriah S. Gregory,Assault,"Thursday, June 21, 1866",1866,June,Thursday,"Storey County Sheriff's Office, NV",Nevada,0
Private,Alvin A. Clark,Gunfire,"Friday, June 29, 1866",1866,June,Friday,"Texas Rangers, TX",Texas,0
Patrolman,John Fuchs,Gunfire,"Wednesday, July 4, 1866",1866,July,Wednesday,"Morrisania Police Department, NY",New York,0
Deputy Sheriff,John Ormsby,Gunfire,"Tuesday, July 10, 1866",1866,July,Tuesday,"Fremont County Sheriff's Department, IA",Iowa,0
Officer,Thomas A. Welch,Gunfire,"Friday, August 17, 1866",1866,August,Friday,"Omaha Police Department, NE",Nebraska,0
Patrolman,John Hipwell,Gunfire,"Tuesday, October 9, 1866",1866,October,Tuesday,"Brooklyn Police Department, NY",New York,0
Officer,Charles E. Gall,Gunfire,"Saturday, October 20, 1866",1866,October,Saturday,"Hagerstown Police Department, MD",Maryland,0
Deputy U.S. Marshal,George W. Leihy,Assault,"Sunday, November 18, 1866",1866,November,Sunday,"United States Department of Justice - United States Marshals Service, US",United States,0
City Marshal,Felix A. Boller,Gunfire,"Wednesday, December 12, 1866",1866,December,Wednesday,"Ogden Police Department, KS",Kansas,0
Policeman,Silas Benjamin Newcomb,Gunfire,"Tuesday, December 18, 1866",1866,December,Tuesday,"Victoria Police Department, TX",Texas,0
Deputy Sheriff,Samuel S. Cronk,Assault,"Wednesday, January 23, 1867",1867,January,Wednesday,"Jackson County Sheriff's Office, IA",Iowa,0
Deputy Sheriff,Horace P. Stewart,Gunfire,"Monday, February 18, 1867",1867,February,Monday,"Spokane County Sheriff's Department, WA",Washington,0
Deputy Sheriff,Mat Green,Gunfire,"Friday, March 1, 1867",1867,March,Friday,"Lamar County Sheriff's Office, TX",Texas,0
Sheriff,Joseph Bailey,Gunfire,"Tuesday, March 26, 1867",1867,March,Tuesday,"Vernon County Sheriff's Office, MO",Missouri,0
Patrolman,John M. Claridge,Gunfire,"Wednesday, April 24, 1867",1867,April,Wednesday,"Memphis Police Department, TN",Tennessee,0
Deputy Sheriff,George Frank S. Griffin,Gunfire,"Thursday, May 23, 1867",1867,May,Thursday,"Ray County Sheriff's Office, MO",Missouri,0
Jailer,Barry G. Griffin,Gunfire,"Thursday, May 23, 1867",1867,May,Thursday,"Ray County Sheriff's Office, MO",Missouri,0
Deputy Sheriff,Isaac Ward,Gunfire,"Thursday, May 23, 1867",1867,May,Thursday,"Jack County Sheriff's Department, TX",Texas,0
Patrolman,Walter M. Rogers,Gunfire,"Tuesday, June 4, 1867",1867,June,Tuesday,"Memphis Police Department, TN",Tennessee,0
Sheriff,Samuel Lewis,Gunfire,"Wednesday, July 31, 1867",1867,July,Wednesday,"McNairy County Sheriff's Office, TN",Tennessee,0
Deputy City Marshal,Thomas G. O'Conner,Gunfire,"Friday, August 30, 1867",1867,August,Friday,"Portland Police Bureau, OR",Oregon,0
Deputy Constable,Richard P. Ryan,Gunfire,"Saturday, August 31, 1867",1867,August,Saturday,"Ophir City Constable's Office, NV",Nevada,0
City Marshal,Charles H. Keeler,Gunfire,"Thursday, September 5, 1867",1867,September,Thursday,"The Dalles Police Department, OR",Oregon,0
Town Marshal,Reuben Fenstenmaker,Gunfire,"Wednesday, September 11, 1867",1867,September,Wednesday,"Farmington Marshal's Office, IA",Iowa,0
Patrolman,Van Ness Wells,Stabbed,"Thursday, September 26, 1867",1867,September,Thursday,"San Antonio Police Department, TX",Texas,0
Patrolman,Robert S. McChesney,Stabbed,"Saturday, October 19, 1867",1867,October,Saturday,"New York Metropolitan Police Force, NY",New York,0
Police Officer,Richard B. Richardson,Gunfire,"Wednesday, October 23, 1867",1867,October,Wednesday,"Oakland Police Department, CA",California,0
Patrolman,Charles Thompson,Stabbed,"Sunday, December 1, 1867",1867,December,Sunday,"New York Metropolitan Police Force, NY",New York,0
Sheriff,Benjamin Franklin Orcutt,Gunfire,"Thursday, December 12, 1867",1867,December,Thursday,"Kalamazoo County Sheriff's Office, MI",Michigan,0
